所属模块,用例名称,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段,类型可选值列表,阶段可选值列表
/(未命名模块/PduR),CTSPTest_PduR_005,路由路径配置为组播操作&amp;&amp;（CTPduRSrcModuleName == &lt;Up&gt;）&amp;&amp;（CTPduRDestModuleName == &lt;Lo&gt;）&amp;&amp;（PduRTransmissionConfirmation == true for at least one interface）,"1. 调用PduR_Init
2. 对每一个符合前提的路由路径执行以下操作
3. 调用PduR_&lt;User:Up&gt;Transmit(PduRSourcePduHandleId, info)
4. 调用PduR_&lt;Lo&gt;TxConfirmation(PduRDestPduHandleId)","1. 
2. 
3. PduR_&lt;User:Up&gt;Transmit返回E_OK



&lt;Lo&gt;_Transmit被调用
4. &lt;Up&gt;TxConfirmation被调用",,2,功能测试,功能测试阶段,,
/(未命名模块/PduR),CTSPTest_PduR_006,路由路径配置为组播操作&amp;&amp;（CTPduRSrcModuleName == &lt;Up&gt;）&amp;&amp;（CTPduRDestModuleName == &lt;LoTp&gt;）&amp;&amp;（PduRTransmissionConfirmation == true for at least one interface）,"1. 调用PduR_Init
2. 对每一个符合前提的路由路径执行以下操作
3. 调用PduR_&lt;User:Up&gt;Transmit(PduRSourcePduHandleId, info)
4. 调用PduR_&lt;LoTp&gt;TxConfirmation(PduRDestPduHandleId)","1. 
2. 
3. PduR_&lt;User:Up&gt;Transmit返回E_OK



&lt;LoTp&gt;_Transmit被调用
4. &lt;Up&gt;_TpTxConfirmation被调用",,2,功能测试,功能测试阶段,,
/(未命名模块/PduR),CTSPTest_PduR_007,((CTPduRSrcModuleName == &lt;Up&gt;) &amp;&amp; (CTPduRDestModuleName == &lt;LoTp&gt;)),"1. 调用PduR_Init
2. 对每一个符合前提的路由路径执行以下操作
3. 调用PduR_&lt;User:Up&gt;Transmit(PduRSourcePduHandleId, info)
4. 调用PduR_&lt;LoTp&gt;CopyTxData(PduRDestPduHandleId, info, NULL_PTR, availableDataPtr)","1. 
2. 
3. PduR_&lt;User:Up&gt;Transmit返回E_OK



&lt;LoTp&gt;_Transmit被调用
4. PduR_&lt;LoTp&gt;CopyTxData返回BUFREQ_OK



&lt;Up&gt;_CopyTxData被调用",,2,功能测试,功能测试阶段,,
/(未命名模块/PduR),CTSPTest_PduR_008,((CTPduRSrcModuleName == &lt;Up&gt;) &amp;&amp; (CTPduRDestModuleName == &lt;LoTp&gt;)),"1. 调用PduR_Init
2. 对每一个符合前提的路由路径执行以下操作
3. 调用PduR_&lt;User:LoTp&gt;TxConfirmation(PduRDestPduHandleId,E_NOT_OK)
4. 调用PduR_&lt;LoTp&gt;CopyTxData(PduRDestPduHandleId,info,retry,availableDataPtr)","1. 
2. 
3. &lt;Up&gt;_TpTxConfirmation(CTPduRSrcPduId, E_NOT_OK)被调用
4. PduR_&lt;LoTp&gt;CopyTxData返回BUFREQ_E_NOT_OK",,2,功能测试,功能测试阶段,,
/(未命名模块/PduR),CTSPTest_PduR_009,路由路径配置为组播操作且CTPduRSrcModuleName != &lt;Up&gt;&amp;&amp;CTPduRSrcModuleName != &lt;LoTp&gt;,"1. 调用PduR_Init
2. 对每一个符合前提的路由路径执行以下操作
3. 调用 PduR_&lt;Lo&gt;RxIndication(PduRSourcePduHandleId, PduInfoPtr)","1. 
2. 
3. &lt;Up&gt;_RxIndication(CTPduRDestPduId, PduInfoPtr)被调用",,2,功能测试,功能测试阶段,,
/(未命名模块/PduR),CTSPTest_PduR_010,路由路径配置为非网关单播操作且 (CTPduRSrcModuleName == &lt;LoTp&gt;),"1. 调用PduR_Init
2. 对每一个符合前提的路由路径执行以下操作
3. 调用 PduR_&lt;LoTp&gt;StartOfReception(SourcePduHandleId, info,TpSduLength, bufferSizePtr)","1. 
2. 
3. PduR_&lt;LoTp&gt;StartOfReception返回BUFREQ_OK



&lt;Up&gt;_StartOfReception被调用",,2,功能测试,功能测试阶段,,
/(未命名模块/PduR),CTSPTest_PduR_011,路由路径配置为非网关单播操作且 (CTPduRSrcModuleName == &lt;LoTp&gt;),"1. 调用PduR_Init
2. 对每一个符合前提的路由路径执行以下操作
3. 调用PduR_&lt;LoTp&gt;StartOfReception(SourcePduHandleId, info,TpSduLength, bufferSizePtr)
4. 调用PduR_&lt;User:LoTp&gt;CopyRxData(PduRSourcePduHandleId, info, bufferSizePtr)","1. 
2. 
3. PduR_&lt;LoTp&gt;StartOfReception返回BUFREQ_OK



&lt;Up&gt;_StartOfReception被调用
4. PduR_&lt;User:LoTp&gt;CopyRxData返回BUFREQ_OK



&lt;Up&gt;_CopyRxData被调用",,2,功能测试,功能测试阶段,,
/(未命名模块/PduR),CTSPTest_PduR_012,路由路径配置为非网关单播操作且 (CTPduRSrcModuleName == &lt;LoTp&gt;),"1. 调用PduR_Init
2. 对每一个符合前提的路由路径执行以下操作
3. 调用 PduR_&lt;User:LoTp&gt;RxIndication(PduRSourcePduHandleId, E_NOT_OK)","1. 
2. 
3. &lt;Up&gt;_RxIndication (CTPduRDestPduId, E_NOT_OK)被调用",,2,功能测试,功能测试阶段,,
/(未命名模块/PduR),CTSPTest_PduR_013,路由路径配置为网关操作且(CTPduRSrcModuleName == &lt;Lo&gt;) &amp;&amp; (PduRDestTxBufferRef is not configured)),"1. 调用PduR_Init
2. 对每一个符合前提的路由路径执行以下操作
3. 调用 PduR_&lt;Lo&gt;RxIndication(PduRSourcePduHandleId, PduInfoPtr)","1. 
2. 
3. &lt;Lo&gt;_Transmit被调用",,2,功能测试,功能测试阶段,,
/(未命名模块/PduR),CTSPTest_PduR_014,路由路径配置为网关操作且(CTPduRSrcModuleName == &lt;Lo&gt;) &amp;&amp; ((PduRTriggertransmit == true) &amp;&amp; (PduRDestPduDataProvision == PDUR_TRIGGERTRANSMIT) for at least one destination)),"1. 调用PduR_Init
2. 对每一个符合前提的路由路径执行以下操作
3. 调用 PduR_&lt;Lo&gt;RxIndication(PduRSourcePduHandleId, PduInfoPtr)PduInfoPtr.SduLength大于PduR Tx缓冲区的长度
4. 调用PduR_&lt;Lo&gt;TriggerTransmit(PduRDestPduHandleId, PduInfoPtr)","1. 
2. 
3. &lt;Lo&gt;_Transmit被调用
4. 在PduInfoPtr.SduDataPtr中复制了等于PduR Tx缓冲区长度的长度数据",,2,功能测试,功能测试阶段,,
/(未命名模块/PduR),CTSPTest_PduR_015,路由路径配置为网关操作且(CTPduRSrcModuleName == &lt;Lo&gt;) &amp;&amp; ((PduRTriggertransmit == true) &amp;&amp; (PduRDestPduDataProvision == PDUR_TRIGGERTRANSMIT) for at least one destination)&amp;&amp; (PduRTxBufferDepth == 1)),"1. 调用PduR_Init
2. 对每一个符合前提的路由路径执行以下操作
3. 调用 PduR_&lt;Lo&gt;RxIndication(PduRSourcePduHandleId, PduInfoPtr)PduInfoPtr.SduLength大于PduR Tx缓冲区的长度
4. 调用 PduR_&lt;Lo&gt;RxIndication(PduRSourcePduHandleId, PduInfoPtr)PduInfoPtr.SduLength大于PduR Tx缓冲区的长度
5. 调用PduR_&lt;Lo&gt;TriggerTransmit(PduRDestPduHandleId, PduInfoPtr)
6. 调用PduR_&lt;DstLo&gt;TxConfirmation(PduRDestPduHandleId)","1. 
2. 
3. &lt;Lo&gt;_Transmit被调用
4. &lt;Lo&gt;_Transmit被调用
5. 数据复制的info.SduDataPtr等于在第04步中PduR的数据输入
6. &lt;Lo&gt;_Transmit未被调用",,2,功能测试,功能测试阶段,,
/(未命名模块/PduR),CTSPTest_PduR_016,路由路径配置为网关操作且(CTPduRSrcModuleName == &lt;Lo&gt;) &amp;&amp;  (PduRDestPduDataProvision == PDUR_DIRECT) for at least one destination)&amp;&amp; (PduRTxBufferDepth == 1))&amp;&amp;(PduR_TxBuffer[bufId].PduRTxBufferRef[0].used==FALSE),"1. 调用PduR_Init
2. 对每一个符合前提的路由路径执行以下操作
3. 调用 PduR_&lt;Lo&gt;RxIndication(PduRSourcePduHandleId, PduInfoPtr)","1. 
2. 
3. &lt;Lo&gt;_Transmit被调用



PduR_EnQueueBuffer未被调用",,2,功能测试,功能测试阶段,,
/(未命名模块/PduR),CTSPTest_PduR_017,路由路径配置为网关操作且(CTPduRSrcModuleName == &lt;Lo&gt;) &amp;&amp; ((PduRTriggertransmit==true) &amp;&amp; (PduRDestPduDataProvision == PDUR_TRIGGERTRANSMIT) for at least one destination)&amp;&amp; (PduRTxBufferDepth == 1))&amp;&amp;（PduR_TxBuffer = NULL_PTR）,"1. 调用PduR_Init
2. 对每一个符合前提的路由路径执行以下操作
3. 调用 PduR_&lt;Lo&gt;RxIndication(PduRSourcePduHandleId, PduInfoPtr)
4. 调用PduR_&lt;Lo&gt;TriggerTransmit(PduRDestPduHandleId, PduInfoPtr)","1. 
2. 
3. &lt;Lo&gt;_Transmit被调用
4. PduR_&lt;Lo&gt;TriggerTransmit返回E_NOT_OK",,2,功能测试,功能测试阶段,,
/(未命名模块/PduR),CTSPTest_PduR_018,路由路径配置为网关操作且(CTPduRSrcModuleName == &lt;Lo&gt;) &amp;&amp; ((PduRTriggertransmit==true) &amp;&amp; (PduRDestPduDataProvision == PDUR_TRIGGERTRANSMIT) for at least one destination)&amp;&amp; (PduRTxBufferDepth &gt; 1)),"1. 调用PduR_Init
2. 对每一个符合前提的路由路径执行以下操作
3. 调用 PduR_&lt;Lo&gt;RxIndication(PduRSourcePduHandleId, PduInfoPtr)PduRTxBufferDepth次且每次PduInfoPtr不同
4. 调用PduR_&lt;Lo&gt;TriggerTransmit(PduRDestPduHandleId, PduInfoPtr)
5. 调用PduR_&lt;Lo&gt;RxIndication(PduRSourcePduHandleId, PduInfoPtr)
6. 调用PduR_&lt;Lo&gt;RxIndication(PduRSourcePduHandleId, PduInfoPtr)","1. 
2. 
3. PduR_TxBuffer[bufId].PduRTxBufferRef[PduRTxBufferDepth-1].used == TRUE
4. PduR_&lt;Lo&gt;TriggerTransmit返回E_OK



&lt;Lo&gt;_Transmit被调用，且最先进入缓冲的数据被复制
5. PduR_TxBuffer[bufId].PduRTxBufferRef[PduRTxBufferDepth-1].used == TRUE;且数据为PduInfoPtr里的数据
6. PduRTxBufferRef[0].used == TRUE;PduRTxBufferRef[1].used == FALSE



Det_ReportError被调用且报告PDUR_E_PDU_INSTANCES_LOST",,2,功能测试,功能测试阶段,,
/(未命名模块/PduR),CTSPTest_PduR_019,路由路径配置为网关操作且(CTPduRSrcModuleName == &lt;LoTp&gt;),"1. 调用PduR_Init
2. 对每一个符合前提的路由路径执行以下操作
3. 调用PduR_&lt;LoTp&gt;StartOfReception(SourcePduHandleId, info,TpSduLength, bufferSizePtr)
4. 调用PduR_&lt;User:LoTp&gt;CopyRxData(PduRSourcePduHandleId, 

info, bufferSizePtr)info.SduLength==TpBufferLength
5. 调用PduR_&lt;User:LoTp&gt;RxIndication(PduRSourcePduHandleId,result==E_OK)","1. 
2. 
3. PduR_&lt;User:LoTp&gt;StartOfReception返回BUFREQ_OK且buffersize等于PduRTpBufferLength



若PduRTpThreshold == 0验证&lt;LoTp&gt;_Transmit被调用

若PduRTpThreshold != 0验证&lt;LoTp&gt;_Transmit未被调用
4. PduR_&lt;User:LoTp&gt;CopyRxData返回BUFREQ_OK且bufferSizePtr为0



&lt;LoTp&gt;_Transmit未被调用
5. &lt;LoTp&gt;_Transmit被调用",,2,功能测试,功能测试阶段,,
/(未命名模块/PduR),CTSPTest_PduR_020,路由路径配置为网关操作且(CTPduRSrcModuleName == &lt;LoTp&gt;)&amp;&amp;至少一个PduRDestPdu等于本地上层模块,"1. 调用PduR_Init
2. 对每一个符合前提的路由路径执行以下操作
3. 调用PduR_&lt;LoTp&gt;StartOfReception(SourcePduHandleId, info,TpSduLength, bufferSizePtr)
4. 调用PduR_&lt;User:LoTp&gt;CopyRxData(PduRSourcePduHandleId, info, bufferSizePtr)
5. 调用PduR_&lt;User:LoTp&gt;RxIndication(PduRSourcePduHandleId,result==E_OK)","1. 
2. 
3. PduR_&lt;User:LoTp&gt;StartOfReception返回BUFREQ_OK



对所有上层目的地重复验证&lt;Up&gt;_StartOfReception被调用
4. PduR_&lt;User:LoTp&gt;CopyRxData返回BUFREQ_OK



对所有上层目的地重复验证&lt;Up&gt;_CopyRxData被调用
5. 对所有上层的目的模块重复验证&lt;Up&gt;_RxIndication被调用



对所有下层TP模块重复验证&lt;LoTp&gt;_Transmit被调用",,2,功能测试,功能测试阶段,,
/(未命名模块/PduR),CTSPTest_PduR_021,路由路径配置为网关操作且(CTPduRSrcModuleName == &lt;LoTp&gt;),"1. 调用PduR_Init
2. 对每一个符合前提的路由路径执行以下操作
3. 调用PduR_&lt;LoTp&gt;StartOfReception(SourcePduHandleId, info,TpSduLength, bufferSizePtr)
4. 调用PduR_&lt;User:LoTp&gt;CopyRxData(PduRSourcePduHandleId, info, bufferSizePtr)
5. 调用PduR_&lt;User:LoTp&gt;RxIndication(PduRSourcePduHandleId,result==E_OK)
6. 调用PduR_&lt;User:LoTp&gt;CopyTxData(PduRDestPduHandleId, info,retry,availableDataPtr)，retry.TpDataState==TP_CONFPENDING","1. 
2. 
3. PduR_&lt;User:LoTp&gt;StartOfReception返回BUFREQ_OK
4. PduR_&lt;User:LoTp&gt;CopyRxData返回BUFREQ_OK
5. &lt;LoTp&gt;_Transmit被调用
6. PduR_&lt;User:LoTp&gt;CopyTxData返回BUFREQ_OK",,2,功能测试,功能测试阶段,,
/(未命名模块/PduR),CTSPTest_PduR_022,路由路径配置为网关操作且(CTPduRSrcModuleName == &lt;LoTp&gt;),"1. 调用PduR_Init
2. 对每一个符合前提的路由路径执行以下操作
3. PduR_&lt;LoTp&gt;StartOfReception(SourcePduHandleId, info,TpSduLength, bufferSizePtr)
4. 调用PduR_&lt;User:LoTp&gt;CopyRxData(PduRSourcePduHandleId, info, bufferSizePtr)
5. 调用PduR_&lt;User:LoTp&gt;RxIndication(PduRSourcePduHandleId,result==E_OK)
6. 调用PduR_&lt;User:LoTp&gt;CopyTxData(PduRDestPduHandleId, 

info,retry,availableDataPtr)，retry.TpDataState==TP_DATACONF且Info.Sdulength&gt;PduRTpBufferLength","1. 
2. 
3. PduR_&lt;User:LoTp&gt;StartOfReception返回BUFREQ_OK
4. PduR_&lt;User:LoTp&gt;CopyRxData返回BUFREQ_OK
5. &lt;LoTp&gt;_Transmit被调用
6. PduR_&lt;User:LoTp&gt;CopyTxData返回BUFREQ_E_BUSY且不复制数据",,2,功能测试,功能测试阶段,,
/(未命名模块/PduR),CTSPTest_PduR_023,路由路径配置为网关操作且(CTPduRSrcModuleName == &lt;LoTp&gt;)&amp;&amp; (PduRTpThreshold&lt;PduRTpBuffer长度),"1. 调用PduR_Init
2. 对每一个符合前提的路由路径执行以下操作
3. 调用PduR_&lt;LoTp&gt;StartOfReception(SourcePduHandleId, info,TpSduLength, bufferSizePtr)
4. 调用PduR_&lt;User:LoTp&gt;CopyRxData(PduRSourcePduHandleId, info, bufferSizePtr)info.SduLength &gt; PduRTpThreshold
5. 调用PduR_&lt;User:LoTp&gt;CopyTxData(PduRDestPduHandleId, info,retry,availableDataPtr)，retry.TpDataState==TP_DATACONF且retry.TxTpDataCnt == 0","1. 
2. 
3. PduR_&lt;User:LoTp&gt;StartOfReception返回BUFREQ_OK&amp;&amp;bufferSizePtr==PdurTpBufferlength
4. PduR_&lt;User:LoTp&gt;CopyRxData返回BUFREQ_OK



&lt;LoTp&gt;_Transmit被调用
5. PduR_&lt;User:LoTp&gt;CopyTxData返回BUFREQ_OK且复制的数据等于第04步复制数据",,2,功能测试,功能测试阶段,,
/(未命名模块/PduR),CTSPTest_PduR_024,路由路径配置为网关操作且(CTPduRSrcModuleName == &lt;LoTp&gt;),"1. 调用PduR_Init
2. 对每一个符合前提的路由路径执行以下操作
3. PduR_&lt;LoTp&gt;StartOfReception(SourcePduHandleId, info,TpSduLength, bufferSizePtr)
4. 调用PduR_&lt;User:LoTp&gt;CopyRxData(PduRSourcePduHandleId, info, bufferSizePtr)info.SduLength == PduRTpThreshold
5. 调用PduR_&lt;User:LoTp&gt;RxIndication(PduRSourcePduHandleId,E_OK)
6. 调用PduR_&lt;User:LoTp&gt;CopyTxData(PduRDestPduHandleId, info,retry,availableDataPtr)，retry.TpDataState==TP_DATARETRY且retry.TxTpDataCnt == PduRTpThreshold","1. 
2. 
3. PduR_&lt;User:LoTp&gt;StartOfReception返回BUFREQ_OK&amp;&amp;bufferSizePtr==PdurTpBufferlength
4. PduR_&lt;User:LoTp&gt;CopyRxData返回BUFREQ_OK
5. 验证&lt;LoTp&gt;_Transmit被调用
6. PduR_&lt;User:LoTp&gt;CopyTxData返回BUFREQ_E_NOT_OK",,2,功能测试,功能测试阶段,,
/(未命名模块/PduR),CTSPTest_PduR_025,路由路径配置为网关操作且(CTPduRSrcModuleName == &lt;LoTp&gt;)&amp;&amp;(PduRTpThreshold&lt;PduRTpBuffer长度),"1. 调用PduR_Init
2. 对每一个符合前提的路由路径执行以下操作
3. 调用PduR_&lt;LoTp&gt;StartOfReception(SourcePduHandleId, info,TpSduLength, bufferSizePtr)
4. 调用PduR_&lt;User:LoTp&gt;CopyRxData(PduRSourcePduHandleId, info, bufferSizePtr)info.SduLength &gt; CTPduRIpduLength
5. 调用PduR_&lt;User:LoTp&gt;RxIndication(PduRSourcePduHandleId,E_NOT_OK)","1. 
2. 
3. PduR_&lt;User:LoTp&gt;StartOfReception返回BUFREQ_OK&amp;&amp;bufferSizePtr==PdurTpBufferlength
4. PduR_&lt;User:LoTp&gt;CopyRxData返回BUFREQ_E_NOT_OK
5. &lt;LoTp&gt;_Transmit未被调用",,2,功能测试,功能测试阶段,,
/(未命名模块/PduR),CTSPTest_PduR_026,路由路径配置为网关操作且(CTPduRSrcModuleName == &lt;LoTp&gt;),"1. 调用PduR_Init
2. 对每一个符合前提的路由路径执行以下操作
3. 调用PduR_&lt;LoTp&gt;StartOfReception(SourcePduHandleId, info,TpSduLength, bufferSizePtr)
4. 调用PduR_&lt;User:LoTp&gt;CopyRxData(PduRSourcePduHandleId, info, bufferSizePtr) info.SduLength == PduRTpBufferLength
5. 调用PduR_&lt;User:LoTp&gt;RxIndication(PduRSourcePduHandleId,result==E_OK)
6. 调用PduR_&lt;User:LoTp&gt;CopyRxData(PduRSourcePduHandleId, info, bufferSizePtr) info.SduLength == PduRTpBufferLength
7. 调用PduR_&lt;User:LoTp&gt;TxConfirmation(PduRDestPduHandleId, E_NOT_OK)
8. 调用PduR_&lt;User:LoTp&gt;StartOfReception(PduRSourcePduHandleId, 

PduRTpBufferLength, buffer)
9. 调用PduR_&lt;User:LoTp&gt;CopyRxData(PduRSourcePduHandleId, 

info, bufferSizePtr) info.SduLength == PduRTpBufferLength","1. 
2. 
3. PduR_&lt;User:LoTp&gt;StartOfReception返回BUFREQ_OK
4. PduR_&lt;User:LoTp&gt;CopyRxData返回BUFREQ_OK
5. &lt;LoTp&gt;_Transmit被调用
6. PduR_&lt;User:LoTp&gt;CopyRxData返回BUFREQ_E_NOT_OK
7. PDU路由器释放了这个目的地的I-PDU缓冲区
8. 验证PduR_&lt;User:LoTp&gt;StartOfReception返回BUFREQ_OK
9. 验证PduR_&lt;User:LoTp&gt;CopyRxData返回BUFREQ_OK",,2,功能测试,功能测试阶段,,
/(未命名模块/PduR),CTSPTest_PduR_027,路由路径配置为网关操作且(CTPduRSrcModuleName == &lt;LoTp&gt;),"1. 调用PduR_Init
2. 对每一个符合前提的路由路径执行以下操作
3. 调用PduR_&lt;LoTp&gt;StartOfReception(SourcePduHandleId, info,TpSduLength, bufferSizePtr)
4. 调用PduR_&lt;User:LoTp&gt;CopyRxData(PduRSourcePduHandleId, info, bufferSizePtr) info.SduLength == PduRTpBufferLength
5. 调用PduR_&lt;User:LoTp&gt;RxIndication(PduRSourcePduHandleId,result==E_NOT_OK)","1. 
2. 
3. PduR_&lt;User:LoTp&gt;StartOfReception返回BUFREQ_OK
4. PduR_&lt;User:LoTp&gt;CopyRxData返回BUFREQ_OK
5. &lt;LoTp&gt;_Transmit未被调用",,2,功能测试,功能测试阶段,,
/(未命名模块/PduR),CTSPTest_PduR_028,路由路径配置为网关操作且(CTPduRSrcModuleName == &lt;LoTp&gt;),"1. 调用PduR_Init
2. 对每一个符合前提的路由路径执行以下操作
3. 调用PduR_&lt;LoTp&gt;StartOfReception(SourcePduHandleId, info,TpSduLength, bufferSizePtr)
4. 调用PduR_&lt;User:LoTp&gt;CopyRxData(PduRSourcePduHandleId, info, bufferSizePtr) info.SduLength == PduRTpBufferLength
5. 调用PduR_&lt;User:LoTp&gt;RxIndication(PduRSourcePduHandleId,result==E_OK)
6. 调用PduR_&lt;LoTp&gt;StartOfReception(SourcePduHandleId, info,TpSduLength, bufferSizePtr)
7. 调用PduR_&lt;User:LoTp&gt;CopyRxData(PduRSourcePduHandleId, info, bufferSizePtr) info.SduLength == PduRTpBufferLength","1. 
2. 
3. PduR_&lt;User:LoTp&gt;StartOfReception返回BUFREQ_OK
4. PduR_&lt;User:LoTp&gt;CopyRxData返回BUFREQ_OK
5. &lt;LoTp&gt;_Transmit被调用
6. PduR_&lt;User:LoTp&gt;StartOfReception返回BUFREQ_E_OVFL
7. PduR_&lt;User:LoTp&gt;CopyRxData返回BUFREQ_E_NOT_OK",,2,功能测试,功能测试阶段,,
/(未命名模块/PduR),CTSPTest_PduR_029,路由路径配置为网关操作且(CTPduRSrcModuleName == &lt;LoTp&gt;),"1. 调用PduR_Init
2. 对每一个符合前提的路由路径执行以下操作
3. 调用调用PduR_&lt;LoTp&gt;StartOfReception(SourcePduHandleId, info,TpSduLength, bufferSizePtr)
4. 调用PduR_&lt;User:LoTp&gt;CopyRxData(PduRSourcePduHandleId, info, bufferSizePtr)
5. 调用PduR_&lt;User:LoTp&gt;RxIndication(PduRSourcePduHandleId,result==E_OK)
6. 调用PduR_&lt;User:LoTp&gt;CopyTxData(PduRDestPduHandleId, info,retry,availableDataPtr)，retry.TpDataState==TP_CONFPENDING且Info.SduLength = PduRTpBufferLength - 1
7. 调用PduR_&lt;User:LoTp&gt;CopyTxData(PduRDestPduHandleId, info,retry,availableDataPtr)，retry.TpDataState==TP_CONF且Info.SduLength=1","1. 
2. 
3. PduR_&lt;User:LoTp&gt;StartOfReception返回BUFREQ_OK
4. PduR_&lt;User:LoTp&gt;CopyRxData返回BUFREQ_OK
5. &lt;LoTp&gt;_Transmit被调用
6. PduR_&lt;User:LoTp&gt;CopyTxData返回BUFREQ_OK&amp;&amp;(复制的数据等于第04步复制数据)
7. PduR_&lt;User:LoTp&gt;CopyTxData返回BUFREQ_OK&amp;&amp;(复制的数据等于第04步复制数据剩余部分)",,2,功能测试,功能测试阶段,,
/(未命名模块/PduR),CTSPTest_PduR_030,路由路径配置为网关操作且(CTPduRSrcModuleName == &lt;LoTp&gt;),"1. 调用PduR_Init
2. 对每一个符合前提的路由路径执行以下操作
3. 调用调用PduR_&lt;LoTp&gt;StartOfReception(SourcePduHandleId, info,TpSduLength, bufferSizePtr)
4. 调用PduR_&lt;User:LoTp&gt;CopyRxData(PduRSourcePduHandleId, info, bufferSizePtr)且PduInfoType.SduLength = 0
5. 调用PduR_&lt;User:LoTp&gt;CopyRxData(PduRSourcePduHandleId, 

info, bufferSizePtr)且PduInfoType.SduLength!=0
6. 调用PduR_&lt;User:LoTp&gt;RxIndication(PduRSourcePduHandleId,result==E_OK)
7. 调用PduR_&lt;User:LoTp&gt;CopyTxData(PduRDestPduHandleId, info,retry,availableDataPtr)，retry.TpDataState==TP_DATACONF且Info.SduLength =0&amp;&amp;retry.TxTpDataCnt == 0","1. 
2. 
3. PduR_&lt;User:LoTp&gt;StartOfReception返回BUFREQ_OK
4. PduR_&lt;User:LoTp&gt;CopyRxData返回BUFREQ_OK和当前可用数据的大小
5. PduR_&lt;User:LoTp&gt;CopyRxData返回BUFREQ_OK
6. &lt;LoTp&gt;_Transmit被调用
7. PduR_&lt;User:LoTp&gt;CopyTxData返回BUFREQ_OK&amp;&amp;(availableDataPtr被更新为PdurTpBufferlength)",,2,功能测试,功能测试阶段,,
/(未命名模块/PduR),CTSPTest_PduR_031,路由路径配置为网关操作且(CTPduRSrcModuleName == &lt;Lo&gt;)&amp;&amp; (PduRTxBufferDepth&gt;1)&amp;&amp;((PduRTransmissionConfirmation == true) &amp;&amp; (PduRDestPduDataProvision == PDUR_DIRECT) for at least one destination)),"1. 调用PduR_Init
2. 对每一个符合前提的路由路径执行以下操作
3. 调用PduR_&lt;Lo&gt;RxIndication(PduRSourcePduHandleId, PduInfoPtr1)
4. 调用PduR_&lt;Lo&gt;RxIndication(PduRSourcePduHandleId, PduInfoPtr2)
5. 调用PduR_&lt;Lo&gt;RxIndication(PduRSourcePduHandleId, PduInfoPtr3)
6. 调用PduR_&lt;DstLo&gt;TxConfirmation(PduRDestPduHandleId)","1. 
2. 
3. &lt;Lo&gt;_Transmit被调用且复制数据等于入参数据
4. 
5. 
6. PduRTxBufferRef[0].used == TRUE;PduRTxBufferRef[1].used == FALSE",,2,功能测试,功能测试阶段,,
